episode,env_id,crash,success,timeout,success_time
909,19,False,True,False,84
910,28,True,False,False,0
911,22,True,False,False,0
912,19,True,False,False,0
913,20,False,True,False,67
914,48,False,True,False,171
915,19,True,False,False,0
916,27,False,True,False,90
917,26,True,False,False,0
918,62,False,True,False,88
919,48,True,False,False,0
920,15,True,False,False,79
921,45,False,True,False,144
922,14,False,True,False,64
923,22,True,False,False,0
924,42,True,False,False,67
925,15,True,False,False,0
926,3,True,False,False,0
927,40,False,True,False,153
928,20,True,False,False,0
929,62,True,False,False,0
930,8,True,False,False,183
931,32,False,True,False,106
932,62,True,False,False,0
933,53,False,True,False,64
934,53,True,False,False,0
935,13,False,True,False,242
936,53,True,False,False,0
937,57,False,True,False,67
938,35,False,True,False,83
939,10,True,False,False,70
940,43,False,True,False,75
941,6,False,True,False,137
942,2,False,True,False,83
943,8,True,False,False,0
944,49,False,True,False,0
945,40,True,False,False,0
946,32,True,False,False,0
946,62,True,False,False,0
947,29,False,True,False,74
947,35,True,False,False,0
948,48,True,False,False,0
949,31,False,True,False,98
950,26,True,False,False,78
951,28,True,False,False,88
952,5,False,True,False,74
953,53,True,False,False,0
953,55,False,True,False,89
954,52,False,True,False,0
955,29,True,False,False,0
956,26,True,False,False,0
957,2,True,False,False,0
958,10,True,False,False,0
959,14,True,False,False,87
960,8,True,False,False,0
960,23,False,True,False,76
961,18,False,True,False,65
962,32,True,False,False,0
963,2,True,False,False,0
963,36,True,False,False,161
964,28,True,False,False,0
965,23,True,False,False,0
966,25,False,True,False,218
967,1,False,True,False,136
968,22,True,False,False,0
969,30,False,True,False,69
970,12,False,True,False,101
971,14,True,False,False,0
972,47,False,True,False,93
973,24,False,True,False,70
974,56,False,True,False,102
975,18,True,False,False,0
976,25,True,False,False,0
977,4,False,True,False,151
977,5,True,False,False,63
978,43,True,False,False,86
979,61,False,True,False,59
980,45,True,False,False,0
981,7,False,True,False,0
982,38,False,True,False,186
983,44,False,True,False,68
984,12,True,False,False,0
985,30,True,False,False,0
986,10,True,False,False,0
987,40,True,False,False,0
988,12,True,False,False,0
989,40,True,False,False,0
990,4,True,False,False,0
991,6,True,False,False,72
992,59,False,True,False,139
993,47,True,False,False,0
994,32,True,False,False,88
995,33,False,True,False,142
996,4,True,False,False,0
996,9,False,True,False,74
997,30,True,False,False,0
998,58,False,True,False,62
999,33,True,False,False,0
999,38,True,False,False,0
1000,34,False,True,False,167
1001,63,False,True,False,208
1002,35,True,False,False,0
1003,0,False,True,False,75
1004,50,False,True,False,186
1005,63,True,False,False,0
1006,60,False,True,False,97
1007,46,False,True,False,0
1008,35,True,False,False,0
1009,11,False,True,False,70
1010,21,False,True,False,157
1011,30,True,False,False,0
1012,2,True,False,False,129
1013,37,False,True,False,114
1014,32,True,False,False,0
1015,63,True,False,False,0
1016,34,True,False,False,0
1017,60,True,False,False,0
1018,34,True,False,False,0
1019,51,False,True,False,63
1020,41,False,True,False,110
1021,50,True,False,False,0
1022,17,False,True,False,82
